entry_id,idprod,date,min_price,avg_price
2652,17,2018-12-07,3117.99,3439.7074999999995
2653,17,2018-12-08,3147.99,3442.8325
2654,17,2018-12-10,3147.99,3442.2074999999995
2655,17,2018-12-11,3147.99,3442.3325
2656,17,2018-12-12,3147.99,3442.9574999999995
2657,17,2018-12-13,3147.99,3444.4574999999995
2658,17,2018-12-14,3147.99,3467.2074999999995
2659,17,2018-12-15,3147.99,3467.7075
2660,17,2018-12-17,3127.99,3465.2075
2661,17,2018-12-18,3127.99,3465.2074999999995
2662,17,2018-12-19,3127.99,3464.4575
2663,17,2018-12-20,3127.99,3466.2074999999995
2664,17,2018-12-21,3339.99,3517.4574999999995
2665,17,2018-12-22,3097.99,3414.3325
2666,17,2018-12-23,3127.99,3447.9587499999993
2667,17,2018-12-24,3127.99,3446.20875
2668,17,2018-12-25,3175.99,3494.70875
2669,17,2018-12-26,3175.99,3490.58375
2670,17,2018-12-28,3179.99,3492.08375
2671,17,2018-12-29,3186.99,3494.08375
2672,17,2019-01-01,3190.99,3496.70875
2673,17,2019-01-02,3190.99,3471.70875
2674,17,2019-01-03,3190.99,3471.83375
2675,17,2019-01-04,3190.99,3471.95875
2676,17,2019-01-05,3190.99,3424.4575
2677,17,2019-01-08,3199.99,3496.8324999999995
2678,17,2019-01-09,2763.8,3312.4574999999995
2679,17,2019-01-10,2766.8,3222.3324999999995
2680,17,2019-01-11,2768.8,3222.9574999999995
2681,17,2019-01-12,2768.8,3223.0825
2682,17,2019-01-14,2769.8,3223.2074999999995
2683,17,2019-01-15,2772.8,3263.4574999999995
2684,17,2019-01-16,2772.8,3281.8325
2685,17,2019-01-17,2772.8,3214.4575
2686,17,2019-01-18,2776.8,3215.8324999999995
2687,17,2019-01-19,2781.8,3254.0824999999995
2688,17,2019-01-21,2781.8,3254.9575
2689,17,2019-01-22,2787.8,3198.0824999999995
2690,17,2019-01-23,2787.8,3180.8325
2691,17,2019-01-24,2787.8,3187.7075
2692,17,2019-01-25,2799.9,3191.3324999999995
2693,17,2019-01-26,2799.9,3193.2074999999995
2694,17,2019-01-29,2799.9,3159.33375
2695,17,2019-01-30,2799.9,3154.70875
2696,17,2019-01-31,2799.9,3154.33375
2697,17,2019-02-02,2799.9,3072.83375
2698,17,2019-02-03,2749,3029.08375
2699,17,2019-02-05,2749,3104.33375
2700,17,2019-02-06,2749,3103.45875
2701,17,2019-02-07,2749,3103.33375
2702,17,2019-02-08,2749,3021.83375
2703,17,2019-02-09,2818.8,3053.58375
2704,17,2019-02-10,2818.8,3052.20875
2705,17,2019-02-14,2808.8,3050.83375
2706,17,2019-02-15,2808.8,3050.95875
2707,17,2019-02-16,2805.8,3050.08375
2708,17,2019-02-17,2805.8,3049.58375
2709,17,2019-02-19,2806.8,3037.5824999999995
2710,17,2019-02-20,2811.8,3039.4574999999995
2711,17,2019-02-21,2816.8,3041.4574999999995
2712,17,2019-02-22,2815.8,3041.2074999999995
2713,17,2019-02-23,2819.8,3042.4574999999995
2714,17,2019-02-25,2818.8,3042.3324999999995
2715,17,2019-02-26,2685.92,2952.7099999999996
2716,17,2019-02-27,2685.92,2990.71
2717,17,2019-02-28,2685.92,2987.71
2718,17,2019-03-02,2685.92,2987.96
2719,17,2019-03-03,2685.92,2850.4599999999996
2720,17,2019-03-05,2685.92,2849.96
2721,17,2019-03-06,2679.99,2823.96
2722,17,2019-03-07,2679.99,2823.71
2723,17,2019-03-08,2679.99,2823.21
2724,17,2019-03-09,2685.92,2846.3362500000003
2725,17,2019-03-11,2685.92,2832.7112500000003
2726,17,2019-03-12,2685.92,2834.21125
2727,17,2019-03-13,2685.92,2834.96125
2728,17,2019-03-14,2685.92,2822.0862500000003
2729,17,2019-03-15,2711.8,2897.83375
2730,17,2019-03-16,2707.8,2896.20875
2731,17,2019-03-18,2733.99,2916.08375
2732,17,2019-03-19,2731.99,3071.20875
2733,17,2019-03-20,2707.8,3033.70875
2734,17,2019-03-21,2699.9,2947.08375
2735,17,2019-03-22,2699.9,2946.08375
2736,17,2019-03-23,2699.9,2945.08375
2737,17,2019-03-24,2699.9,2931.45875
2738,17,2019-03-25,2699.9,2931.70875
2739,17,2019-03-26,2699.9,2932.08375
2740,17,2019-03-27,2699.9,2923.20875
2741,17,2019-03-28,2699.9,2924.33375
2742,17,2019-03-29,2699.9,2898.95875
2743,17,2019-03-30,2699.9,2900.08375
2744,17,2019-04-01,2699.9,2899.33375
2745,17,2019-04-02,2699.9,2899.20875
2746,17,2019-04-03,2699.9,2898.58375
